filename,dataset,gender_pred,gender,dominant_emotion,gender_emotion_class,angry,disgust,fear,happy,sad,surprise,neutral,face_x,face_y,face_w,face_h,face_area,face_aspect_ratio,brightness,sharpness,valence,arousal
face_S137_011_00000019.png,train,"{'Woman': 0.35244582686573267, 'Man': 99.64755177497864}",Man,happy,happy_Man,3.1465738260951872e-06,5.287053801144493e-11,1.354551242900479e-06,99.89780188825108,0.000489915,1.3587761117400964e-05,0.1016888762673585,2,0,43,47,2021.0,0.91,142.8411677387432,2242.4234503570992,0.7991785284733138,0.5993884481103138
face_S064_003_00000025.png,train,"{'Woman': 0.06241900846362114, 'Man': 99.93758797645569}",Man,happy,happy_Man,0.002725746,2.0196751583812303e-08,0.020877454,97.38286764825968,0.000793464,0.043581226,2.549149723452363,5,0,37,47,1739.0,0.79,181.9453709028177,3219.5680483684355,0.7790657326131804,0.5849015480659832
face_S108_008_00000012.png,train,"{'Woman': 99.97338652610779, 'Man': 0.026616480317898095}",Woman,happy,happy_Woman,0.000266465,4.914693652047221e-10,8.723886679717907e-06,99.99655485153198,1.0943123385231956e-05,4.403176134815112e-06,0.003150732,6,0,36,46,1656.0,0.78,155.7572463768116,2413.697962612897,0.7999704735932177,0.5999816350899677
face_S026_006_00000011.png,train,"{'Woman': 99.99436140060425, 'Man': 0.005632427928503603}",Woman,happy,happy_Woman,2.9901749964977853e-07,3.7727889718278346e-15,4.062731189880334e-12,99.99995231628418,1.3114941133096636e-06,5.2319112583965e-10,4.785746909874433e-05,4,0,38,47,1786.0,0.81,99.82362821948487,1399.1243831893953,0.7999995916689325,0.59999971
face_S094_004_00000012.png,train,"{'Woman': 99.50236082077026, 'Man': 0.4976410884410143}",Woman,happy,happy_Woman,5.41640766187567e-13,1.1985777466807094e-21,6.704128134663858e-14,99.99988079071044,1.6687929250275288e-10,7.090847548886503e-11,0.000122101,5,0,38,47,1786.0,0.81,105.33090705487122,1102.1006196007518,0.7999990231912975,0.5999992673954085
face_S116_007_00000015.png,train,"{'Woman': 0.00900259256013669, 'Man': 99.99099969863892}",Man,happy,happy_Man,0.000295649,3.2978427165728906e-07,0.002085636,99.79588987876298,0.00067083,0.000136145,0.200915429,5,0,38,47,1786.0,0.81,159.22452407614782,2510.1006286922425,0.7983456747106366,0.5987997511755029
face_S065_004_00000026.png,train,"{'Woman': 99.99405145645142, 'Man': 0.005950656850473024}",Woman,happy,happy_Woman,1.363091321127561e-06,1.1510173709092515e-09,0.2643524826677133,99.58848950794275,0.1464007276758985,1.2034379544102282e-06,0.000756634,6,0,38,47,1786.0,0.81,135.58062709966404,1664.0943069713549,0.7936862228914657,0.6003493217906044
face_S095_007_00000020.png,train,"{'Woman': 99.67920184135437, 'Man': 0.32079447992146015}",Woman,happy,happy_Woman,1.890383494185244e-06,3.357010104469184e-12,3.208034282664585e-07,93.49711537361144,0.000313768,0.001181373,6.501387059688568,4,0,37,47,1739.0,0.79,131.60149511213342,1402.983185527299,0.7479791244579913,0.5609942851138899
face_S115_008_00000015.png,train,"{'Woman': 91.97198152542114, 'Man': 8.028025180101395}",Woman,happy,happy_Woman,3.842379539542584e-09,3.370890221617605e-13,1.051771170157422e-09,99.99936819076538,2.757111650097954e-07,1.3209683997691954e-10,0.000635437,5,0,38,47,1786.0,0.81,130.61870100783875,2538.204082,0.7999949120164754,0.5999961865604521
face_S062_004_00000022.png,train,"{'Woman': 0.003273665060987696, 'Man': 99.99672174453735}",Man,happy,happy_Man,7.141664185772052e-09,5.480103216627275e-20,4.3207581880071146e-11,99.96962548,4.4606973383501614e-10,3.882911520176113e-05,0.030331924,4,0,39,47,1833.0,0.83,167.19967266775777,2614.619887145081,0.799757189,0.5998181249490672
